month,supply,change
2023-01,66000,0
2023-02,68000,3
2023-03,70000,3
2023-04,79000,13
2023-05,82000,4
2023-06,83000,1
2023-07,83000,0
2023-08,83000,0
2023-09,83000,0
2023-10,84000,1
2023-11,87000,4
2023-12,91000,5
2024-01,92000,1
2024-02,95000,3
2024-03,100000,5
2024-04,105000,5
2024-07,114430,9
2024-08,118222,3
2024-09,119508.8,1
2024-10,120380.63,1
2024-11,133558.62,11
2024-12,138763.09,4
2025-01,139418.12,0
2025-02,142167.94,2
2025-03,144151.84,1
2025-04,148006.01,3
2025-05,153119.22,3
2025-06,157596.2,3
2025-07,163743.26,4
2025-08,167623.03,2
2025-09,170359.3,2
